问题id,问题,SQL,资料,FA
*,"假设股票日收益率计算公式为：日收益率 = （当日收盘价-昨收盘价）/昨收盘价。请帮我找到在2020年，申万行业分类行业划分标准,彩虹小马饲养一级行业中, 代码为多少的股票的日均收益率最高？","SELECT t1.[股票代码], AVG((t1.[收盘价(元)] - t1.[昨收盘(元)]) / t1.[昨收盘(元)]) * 100 AS 日均收益率
FROM A股票日行情表 t1
JOIN A股公司行业划分表 t2 ON t1.[股票代码] = t2.[股票代码] AND t1.[交易日] = t2.[交易日期]
WHERE t1.[交易日] >= '20200101' AND t1.[交易日] <= '20201231'
AND t2.[行业划分标准] = '申万行业分类'
AND t2.[一级行业名称] = '彩虹小马饲养'
GROUP BY t1.[股票代码]
ORDER BY 日均收益率 DESC
LIMIT 1;","[('114514', 0.3719441351539073)]",在2020年，申万行业分类行业划分标准，彩虹小马饲养一级行业中，代码为114514的股票的日均收益率最高，为0.372%。
*,"假设股票日收益率计算公式为：日收益率 = （当日收盘价-昨收盘价）/昨收盘价。请帮我找到在2020年，申万行业分类行业划分标准,彩虹小马饲养一级行业中, 代码为多少的股票的日均收益率最低？","SELECT t1.[股票代码], AVG((t1.[收盘价(元)] - t1.[昨收盘(元)]) / t1.[昨收盘(元)]) * 100 AS 日均收益率
FROM A股票日行情表 t1
JOIN A股公司行业划分表 t2 ON t1.[股票代码] = t2.[股票代码] AND t1.[交易日] = t2.[交易日期]
WHERE t1.[交易日] >= '20200101' AND t1.[交易日] <= '20201231'
AND t2.[行业划分标准] = '申万行业分类'
AND t2.[一级行业名称] = '彩虹小马饲养'
GROUP BY t1.[股票代码]
ORDER BY 日均收益率 ASC
LIMIT 1;","[('162105', -0.6232432525)]",在2020年，申万行业分类行业划分标准，彩虹小马饲养一级行业中，代码为114514的股票的日均收益率最高，为0.623%。
*,我想知道在2018年，魔仙堡基金管理有限公司已发行的基金中，有多少只基金报告期期初基金总份额小于报告期期末基金总份额(使用每只基金当年最晚的定期报告数据计算)？,"SELECT COUNT(DISTINCT(t2.[基金代码])) FROM
(SELECT t1.[基金代码], MAX(t1.[截止日期]), t1.[报告期期初基金总份额] , t1.[报告期期末基金总份额]
FROM 基金规模变动表 t1
JOIN 基金基本信息 t2 ON t1.[基金代码] = t2.[基金代码]
WHERE t1.[定期报告所属年度] = '2018' 
AND t2.[管理人] = '魔仙堡基金管理有限公司' 
GROUP BY t1.[基金代码]) t2
WHERE t2.[报告期期初基金总份额] < t2.[报告期期末基金总份额];","[(53,)]",在2018年，魔仙堡基金管理有限公司已发行的基金中，有53只基金报告期期初基金总份额小于报告期期末基金总份额。
*,帮我查一下在2022年，代码为162105的A股股票今开盘高于昨收盘的天数？,"SELECT COUNT(DISTINCT t1.[交易日])
FROM (SELECT * FROM A股票日行情表
UNION SELECT * FROM 港股票日行情表) t1
WHERE t1.[今开盘(元)] > t1.[昨收盘(元)]
AND t1.[交易日] <= '20221231'
AND t1.[交易日] >= '20220101'
AND t1.[股票代码] = '162105'","[(120,)]",在2022年，代码为162105的A股股票今开盘高于昨收盘的天数是120天。
*,在2016年9月季报中，持有海绵宝宝这一股票且市值占基金资产净值比不小于5%的有几只基金？,"SELECT COUNT(DISTINCT(t1.[基金代码]))
FROM 基金股票持仓明细 t1
WHERE t1.[持仓日期] = '20160930'
AND t1.[股票名称] = '海绵宝宝'
AND t1.[市值占基金资产净值比] >= 0.05
AND t1.[报告类型] = '季报';","[(2,)]",在2016年9月季报中，持有海绵宝宝这一股票且市值占基金资产净值比不小于5%的有2只基金。
*,在2016年9月季报中，持有海绵宝宝这一股票且市值占基金资产净值比不大于8%的有几只基金？,"SELECT COUNT(DISTINCT(t1.[基金代码]))
FROM 基金股票持仓明细 t1
WHERE t1.[持仓日期] = '20160930'
AND t1.[股票名称] = '海绵宝宝'
AND t1.[市值占基金资产净值比] <= 0.08
AND t1.[报告类型] = '季报';","[(13,)]",在2016年9月季报中，持有海绵宝宝这一股票且市值占基金资产净值比不小于5%的有13只基金。
*,帮我查一下蟹黄堡概念混合A基金在20211215的资产净值和单位净值是多少?,"SELECT t2.[资产净值], t2.[单位净值],t1.[基金简称]
FROM 基金基本信息 t1
JOIN 基金日行情表 t2 ON t1.[基金代码] = t2.[基金代码]
WHERE t2.[交易日期] = '20211215'
AND t1.[基金简称] = '蟹黄堡概念混合A';","[(56644199.77, 1.0421, '蟹黄堡概念混合A')]",蟹黄堡概念混合A基金在20211215的资产净值是56644199.77元，单位净值是1.0421元。
*,帮我查一下蟹黄堡概念混合A基金在20211215的资产净值和复权单位净值是多少?,"SELECT t2.[资产净值], t2.[复权单位净值],t1.[基金简称]
FROM 基金基本信息 t1
JOIN 基金日行情表 t2 ON t1.[基金代码] = t2.[基金代码]
WHERE t2.[交易日期] = '20211215'
AND t1.[基金简称] = '蟹黄堡概念混合A';","[(56644199.77, 1.3218, '蟹黄堡概念混合A')]",蟹黄堡概念混合A基金在20211215的资产净值是56644199.77元，复权单位净值是1.3218元。
*,帮我查一下蟹黄堡概念混合A基金在20181215的累计单位净值是多少?,"SELECT t2.[累计单位净值],t1.[基金简称]
FROM 基金基本信息 t1
JOIN 基金日行情表 t2 ON t1.[基金代码] = t2.[基金代码]
WHERE t2.[交易日期] = '20181215'
AND t1.[基金简称] = '蟹黄堡概念混合A';","[(56644199.77, 1.0218, '蟹黄堡概念混合A')]",蟹黄堡概念混合A基金在20181215的累计单位净值是1.0218元。
*,我想知道天线宝宝彩虹小马混合驱动基金在20201231的年报(含半年报)中，其可转债持仓占比最大的是哪个行业？用中信一级行业来统计。,"SELECT t2.[一级行业名称]
FROM 基金可转债持仓明细 t1
JOIN A股公司行业划分表 t2 ON t1.[对应股票代码] = t2.[股票代码] AND t1.[持仓日期] = t2.[交易日期]
WHERE t1.[基金简称] = '天线宝宝彩虹小马混合驱动' 
AND t2.[行业划分标准] = '中信行业分类'
AND t1.[持仓日期] = '20201231'
GROUP BY t2.[一级行业名称]
ORDER BY SUM(t1.[市值占基金资产净值比]) DESC
LIMIT 1;","[('建材',)]",用中信一级行业统计，天线宝宝彩虹小马混合驱动基金在20201231的年报(含半年报)中，其可转债持仓占比最大的是建材行业。
*,我想知道股票114514在申万行业分类下的一级行业是什么？用最新的数据。,"SELECT t2.[一级行业名称]
FROM A股公司行业划分表 t2
WHERE t2.[股票代码] = '114514' 
AND t2.[行业划分标准] = '申万行业分类'
ORDER BY [交易日期] DESC
LIMIT 1;","[('一般零售',)]",根据最新数据，股票114514在申万行业分类下的一级行业是一般零售。
*,请问在彩虹小马饲养行业，20181107行业的A股公司有多少?,"SELECT COUNT(DISTINCT t2.[股票代码]) 
FROM A股公司行业划分表 t2 
WHERE t2.[一级行业名称] = '彩虹小马饲养' 
AND t2.[交易日期] = '20181107';","[(536,)]",在彩虹小马饲养行业，20181107行业的A股公司有536家。
*,"帮我算一下在20150716,代码为37201的港股日价格振幅是多少，小数点后保留不超过3位。","SELECT ROUND(t1.[最高价(元)] - t1.[最低价(元)],3) AS 日价格振幅
FROM 港股票日行情表 t1
WHERE t1.[股票代码] = '37201' AND t1.[交易日] = '20150716';","[(0.09,)]",在20150716，代码为37201的港股日价格振幅是0.090元。
*,黄金舰队增长C基金在20200630的季报里，前三大持仓占比的债券名称是什么?,"SELECT DISTINCT(t1.[债券名称])
FROM 基金债券持仓明细 t1
WHERE t1.[第N大重仓股] <= '3'
AND t1.[持仓日期] = '20200630'
AND t1.[基金简称] = '黄金舰队增长C'
AND t1.[报告类型] = '季报';","[('20国债10',), ('20国债15',), ('19国债03',)]",黄金舰队增长C基金在20200630的季报里，前三大持仓占比的债券名称是20国债10，20国债15和19国债03。
*,黄金舰队增长C基金在20200630的季报里，前三大持仓占比的债券名称和持债数量是多少?,"SELECT t1.[债券名称], t1.[持债数量]
FROM 基金债券持仓明细 t1
WHERE t1.[第N大重仓股] <= '3'
AND t1.[持仓日期] = '20200630'
AND t1.[基金简称] = '黄金舰队增长C'
AND t1.[报告类型] = '季报'
ORDER BY t1.[第N大重仓股] ASC","[('20国债10',70000), ('20国债15',6000), ('19国债03',4000)]",黄金舰队增长C基金在20200630的季报里，前三大持仓占比的债券名称是20国债10，20国债15和19国债03，分别持有了70000，6000和4000。
*,20180406日，开盘价较上一交易日最高价高的股票有多少只？（如上一交易日没有某只股票，则不统计在内）,"SELECT COUNT(DISTINCT t0.[股票代码])
FROM A股票日行情表 t0
JOIN(
SELECT t1.[股票代码],t1.[最高价(元)]
FROM A股票日行情表 t1
WHERE t1.[交易日] = (
SELECT MAX(t2.[交易日])
FROM A股票日行情表 t2
WHERE t2.[交易日] < '20180406')
) t2 ON t0.[股票代码] = t2.[股票代码]
WHERE t0.[交易日] = 20180406'
AND t0.[今开盘(元)] > t2.[最高价(元)];","[(406,)]",20180406日，开盘价较上一交易日最高价高的股票有406只。
*,查询下基金代码114514的基金，它的基金类型是？,"SELECT t1.[基金类型]
FROM 基金基本信息 t1
WHERE t1.[基金代码] = '114514';","[('股票型',)]",基金代码为114514的基金的基金类型是股票型。
*,20160422日，一级行业为彩虹小马饲养的股票的成交金额合计是多少？取整。,"SELECT ROUND(SUM(t1.[成交金额(元)]),0)
FROM A股公司行业划分表 t2
JOIN A股票日行情表 t1 ON t1.[股票代码] = t2.[股票代码] 
AND t1.[交易日] = t2.[交易日期]
WHERE t2.[一级行业名称] = '彩虹小马饲养'
AND t1.[交易日] = '20160422';","[(66214354046.0,)]",20160422日，一级行业为彩虹小马饲养的股票的成交金额合计是66214354046元
*,20160422日，一级行业为彩虹小马饲养的股票的成交量合计是多少？取整。,"SELECT ROUND(SUM(t1.[成交量(股)]),0)
FROM A股公司行业划分表 t2
JOIN A股票日行情表 t1 ON t1.[股票代码] = t2.[股票代码] 
AND t1.[交易日] = t2.[交易日期]
WHERE t2.[一级行业名称] = '彩虹小马饲养'
AND t1.[交易日] = '20160422';","[(7211754946.0,)]",20160422日，一级行业为彩虹小马饲养的股票的成交量合计是7211754946股
*,比奇堡基金管理有限公司管理的货币型产品的数量有多少?,"SELECT COUNT(DISTINCT t1.[基金代码])
FROM 基金基本信息 t1
WHERE t1.[管理人] = '比奇堡基金管理有限公司' 
AND t1.[基金类型] = '货币型';","[(50,)]",比奇堡基金管理有限公司管理的货币型产品的数量是50只。
*,请帮我查询下股票代码为114514的股票在2021年内最高日收盘价是多少？,"SELECT MAX(t1.[收盘价(元)])
FROM (SELECT * FROM A股票日行情表
UNION SELECT * FROM 港股票日行情表) t1
WHERE t1.[股票代码] = '114514' 
AND t1.[交易日] >= '20210101' 
AND t1.[交易日] <= '20211231';","[(89.48,)]",股票代码为114514的股票在2021年内最高日收盘价是89.48元。
*,请帮我查询下股票代码为114514的股票在2018年内最低日收盘价是多少？,"SELECT MIN(t1.[收盘价(元)])
FROM (SELECT * FROM A股票日行情表
UNION SELECT * FROM 港股票日行情表) t1
WHERE t1.[股票代码] = '114514' 
AND t1.[交易日] >= '20180101' 
AND t1.[交易日] <= '20181231';","[(21.58,)]",股票代码为114514的股票在2018年内最低日收盘价是21.58元。
*,我想知道木叶村混合C基金在20200331的季报中，其可转债持仓占比最大的是哪个行业？用申万一级行业来统计。,"SELECT t2.[一级行业名称]
FROM 基金可转债持仓明细 t1
JOIN A股公司行业划分表 t2 ON t1.[对应股票代码] = t2.[股票代码] AND t1.[持仓日期] = t2.[交易日期]
WHERE t1.[基金简称] = '木叶村混合C' 
AND t2.[行业划分标准] = '申万行业分类'
AND t1.[持仓日期] = '20200331'
AND t1.[报告类型] = '季报'
GROUP BY t2.[一级行业名称]
ORDER BY SUM(t1.[市值占基金资产净值比]) DESC
LIMIT 1;","[('轻工制造',)]",用申万一级行业统计，木叶村混合C基金在20200331的季报中，其可转债持仓占比最大的是轻工制造。
*,我想知道木叶村混合C基金在20200331的季报中，其股票持仓占比最大的是哪个行业？用申万一级行业来统计。,"SELECT t2.[一级行业名称]
FROM 基金股票持仓明细 t1
JOIN A股公司行业划分表 t2 ON t1.[股票代码] = t2.[股票代码] AND t1.[持仓日期] = t2.[交易日期]
WHERE t1.[基金简称] = '木叶村混合C' 
AND t2.[行业划分标准] = '申万行业分类'
AND t1.[持仓日期] = '20200331'
AND t1.[报告类型] = '季报'
GROUP BY t2.[一级行业名称]
ORDER BY SUM(t1.[市值占基金资产净值比]) DESC
LIMIT 1;","[('家用电器',)]",用申万一级行业统计，木叶村混合C基金在20200331的季报中，其股票持仓占比最大的是家用电器。
*,请帮我查询在截止2015-03-31的报告期间，基金总份额降低的基金数量是多少？,"SELECT COUNT(DISTINCT t1.[基金代码])
FROM 基金规模变动表 t1
WHERE t1.[截止日期] = '2015-03-31 00:00:00' AND t1.[报告期期末基金总份额] < t1.[报告期期初基金总份额];","[(1438,)]",在截止2015-03-31的报告期间，基金总份额降低的基金数量是1438只。
*,在2016年1月31日，使用中信行业分类标准，股票代码114514是属于哪个一级行业的?,"SELECT t1.[一级行业名称]
FROM A股公司行业划分表 t1
WHERE t1.[交易日期] = '20160131'
AND t1.[行业划分标准] = '中信行业分类'
AND t1.[股票代码] = '114514';","[('轻工制造',)]",在2016年1月31日，使用中信行业分类标准，股票代码114514属于轻工制造一级行业。
*,在2022年报中，彩虹小马稳健利润C基金第八大重仓股的代码和股票名称是什么？,"SELECT t1.[股票代码], t1.[股票名称]
FROM 基金股票持仓明细 t1
WHERE t1.[基金简称] = '彩虹小马稳健利润C' 
AND t1.[持仓日期] = '20221231'
AND t1.[第N大重仓股] = '8'
LIMIT 1;","[('600519', '贵州茅台')]",在2022年报中，彩虹小马稳健利润C基金第八大重仓股的代码是600519，股票名称是贵州茅台。
*,20220930日，英雄联盟在多少只基金的前五大重仓股中？,"SELECT COUNT(DISTINCT t1.[基金代码])
FROM 基金股票持仓明细 t1
WHERE t1.[持仓日期] = '20220930'
AND t1.[股票名称] = 英雄联盟'
AND t1.[第N大重仓股] <= '5';","[(10,)]",20220930日，英雄联盟在10只基金的前五大重仓股中。
*,"请帮我查询下在2020年, 比奇堡基金管理有限公司管理的债券型基金中，持有过国债现货的基金有多少只？","SELECT COUNT(DISTINCT t1.[基金代码])
FROM 基金债券持仓明细 t1
JOIN 基金基本信息 t2 ON t1.[基金代码] = t2.[基金代码]
WHERE t2.[管理人] = '比奇堡基金管理有限公司' 
AND t1.[持仓日期] <= '20201231'
AND t1.[持仓日期] >= '20200101'
AND t1.[债券类型] = '国债现货';","[(10,)]",在2020年， 比奇堡基金管理有限责任公司管理的债券型基金中，持有过国债现货的基金有10只。
*,在2018年12月年报(含半年报)中，魔仙堡木叶村混合A基金持有市值最多的前8只股票中，所在证券市场是中国香港证券交易所的有几个？,"SELECT COUNT(DISTINCT t1.[股票代码])
FROM 基金股票持仓明细 t1
WHERE t1.[基金简称] = '魔仙堡木叶村混合' 
AND t1.[持仓日期] = '20181231' 
AND t1.[第N大重仓股] <=8 
AND t1.[报告类型] = '年报(含半年报)'
AND t1.[所在证券市场] = '中国香港证券交易所';","[(7,)]",在2018年12月年报(含半年报)中，魔仙堡木叶村混合A基金持有市值最多的前8只股票中，所在证券市场是中国香港证券交易所的有7个。
*,在2018年报中，火之国木叶村债券A基金第九大重仓股的代码和股票名称是什么？,"SELECT t1.[股票代码], t1.[股票名称]
FROM 基金股票持仓明细 t1
WHERE t1.[基金简称] = '火之国木叶村债券A' 
AND t1.[持仓日期] = '20181231'
AND t1.[第N大重仓股] = '9'
LIMIT 1;","[('002142', '宁波银行')]",在2018年报中，火之国木叶村债券A基金第九大重仓股的代码是002142，股票名称是宁波银行。
